_1;recno;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;Vmag;e_Vmag;Bmag;e_Bmag
 ; ;deg;deg;arcsec;arcsec;mag;mag;mag;mag
----------------------------------------;--------;----------;----------;------;------;------;------;------;------
128                                     ;27909951;265.143075;-32.255509; 0.150; 0.209;12.223; 0.030;12.812; 0.019

129;;;;;;;;;

130                                     ;27909957;265.127354;-32.255999; 0.214; 0.237;11.354; 0.035;11.774; 0.025

131                                     ;27911250;265.371571;-32.256782; 0.148; 0.319;11.795; 0.046;12.308; 0.024

132                                     ;27910012;264.939974;-32.272261; 0.190; 0.237;12.857; 0.036;13.531; 0.018

133                                     ;27909942;265.195442;-32.273349; 0.119; 0.234;10.660; 0.030;12.126; 0.016

134;;;;;;;;;

135;;;;;;;;;

136;;;;;;;;;

137                                     ;27911232;265.328097;-32.283746; 0.161; 0.297;11.010; 0.029;11.306; 0.037

138                                     ;27911236;265.335897;-32.284171; 0.174; 0.300;11.678; 0.045;12.225; 0.036

139                                     ;27924799;264.871662;-32.289920; 0.176; 0.314;12.574; 0.031;13.240; 0.027

140                                     ;27909924;265.141323;-32.295840; 0.273; 0.360;11.257; 0.024;11.692; 0.034

141;;;;;;;;;

142                                     ;27909916;265.072288;-32.303307; 0.464; 0.587;10.665; 0.038;10.959; 0.026

143                                     ;27911169;265.450803;-32.307768; 0.193; 0.421;12.307; 0.038;12.863; 0.041

144                                     ;27909855;264.910635;-32.309358; 0.151; 0.340;11.251; 0.027;11.642; 0.020

145                                     ;27911168;265.435478;-32.311133; 0.211; 0.389;10.624; 0.038;10.896; 0.039

146                                     ;27911230;265.318686;-32.314781; 0.179; 0.317;12.847; 0.024;13.563; 0.025

147                                     ;27909665;265.246594;-32.315788; 0.167; 0.278;11.940; 0.041;12.514; 0.033

148                                     ;27911165;265.428584;-32.320798; 0.167; 0.401;11.934; 0.029;12.483; 0.038

149                                     ;27924793;264.846077;-32.320937; 0.441; 0.514;10.865; 0.022;11.189; 0.020

150                                     ;27909657;265.268031;-32.324443; 0.161; 0.261;11.322; 0.032;11.740; 0.029

151                                     ;27909905;265.081482;-32.329906; 0.249; 0.316;13.033; 0.040;13.912; 0.031

152                                     ;27909900;265.025078;-32.331338; 0.170; 0.350;12.208; 0.022;12.863; 0.030

153                                     ;27909847;264.837121;-32.342279; 0.204; 0.450;11.348; 0.023;11.750; 0.023

154                                     ;27909897;265.001165;-32.345270; 0.902; 0.372;12.175; 0.022;12.767; 0.044

155                                     ;27909896;265.061931;-32.349328; 0.176; 0.269;11.517; 0.021;12.075; 0.030

156                                     ;27909886;265.097959;-32.353569; 0.171; 0.273;12.199; 0.037;12.871; 0.030

157                                     ;27909625;265.300210;-32.354027; 0.157; 0.305;11.740; 0.044;12.112; 0.035

158                                     ;27909639;265.220073;-32.362589; 0.232; 0.333;12.064; 0.034;12.615; 0.033

159                                     ;27909831;264.956892;-32.366079; 0.166; 0.377;10.933; 0.026;11.427; 0.019

160                                     ;27909884;265.145709;-32.369008; 0.168; 0.263;11.641; 0.033;12.199; 0.025

161                                     ;27909836;264.924198;-32.369418; 0.209; 0.421;12.092; 0.021;12.666; 0.024

162                                     ;27909879;265.109634;-32.374946; 0.206; 0.284;12.551; 0.028;13.236; 0.024

163;;;;;;;;;

164                                     ;27909826;264.910036;-32.385780; 0.216; 0.621;11.149; 0.032;11.493; 0.026

165                                     ;27909767;264.965450;-32.386801; 0.217; 0.401;12.389; 0.022;12.998; 0.018

166                                     ;27909872;265.099010;-32.390108; 0.184; 0.327;10.818; 0.028;11.129; 0.032

167;;;;;;;;;

168                                     ;27909618;265.215239;-32.394446; 0.188; 0.324;10.801; 0.023;11.224; 0.026

169                                     ;27909617;265.281287;-32.395995; 0.193; 0.314;12.051; 0.035;12.775; 0.034

170                                     ;27909769;264.967853;-32.398936; 0.204; 0.479;10.512; 0.027;10.743; 0.031

171                                     ;27909555;265.310262;-32.401683; 0.152; 0.340;11.123; 0.033;11.836; 0.035

172                                     ;27909604;265.141937;-32.404679; 0.182; 0.344;11.697; 0.029;12.297; 0.033

173                                     ;27909613;265.260431;-32.411117; 0.176; 0.325;11.394; 0.030;11.831; 0.030

174                                     ;27909819;264.905278;-32.419667; 0.428; 0.626;11.817; 0.015;14.314; 0.030

175                                     ;27924322;264.637634;-32.420020; 0.090; 0.094; 9.803; 0.000; 9.996; 0.075

176                                     ;27909810;264.819455;-32.426543; 0.179; 0.267;12.332; 0.023;13.602; 0.020

177                                     ;27924761;264.715452;-32.428356; 0.206; 0.078;11.072; 0.023;11.420; 0.025

178                                     ;27909809;264.814949;-32.441605; 0.185; 0.169;11.307; 0.018;13.513; 0.016

179                                     ;27909733;265.039928;-32.445330; 0.216; 0.505;10.268; 0.043;10.456; 0.036

180                                     ;27909549;265.267806;-32.454087; 0.200; 0.419;12.397; 0.042;13.727; 0.027

181                                     ;27909478;265.089622;-32.461583; 0.222; 0.463;11.755; 0.029;12.166; 0.027

182                                     ;27909547;265.297088;-32.461839; 0.211; 0.382;11.192; 0.027;11.572; 0.042

183                                     ;27924304;264.693513;-32.471130; 0.295; 0.315;11.326; 0.011;11.521; 0.029

184                                     ;27909566;265.128419;-32.488995; 0.200; 0.482;11.908; 0.017;12.640; 0.031

185                                     ;27909296;264.742750;-32.502586; 0.260; 0.128;11.883; 0.022;12.237; 0.024

186                                     ;27909467;265.064902;-32.508407; 0.417; 0.606;11.217; 0.026;12.087; 0.030

187                                     ;27909561;265.165946;-32.513184; 0.218; 0.564;11.846; 0.026;12.524; 0.027

188                                     ;27909509;265.171536;-32.533474; 0.237; 0.528;11.134; 0.032;11.368; 0.040

189;;;;;;;;;

190;;;;;;;;;

191;;;;;;;;;

192;;;;;;;;;

193                                     ;27926603;265.083957;-31.991196; 0.449; 0.766;      ;      ;      ;

194;;;;;;;;;

195;;;;;;;;;

196;;;;;;;;;

197;;;;;;;;;

198;;;;;;;;;

199;;;;;;;;;

200;;;;;;;;;

201;;;;;;;;;

202;;;;;;;;;

203;;;;;;;;;

204                                     ;27911561;265.274810;-31.993043; 0.082; 1.963;      ;      ;      ;
204                                     ;27911562;265.274789;-31.993647; 0.735; 0.465;15.109; 0.043;16.036; 0.023

205;;;;;;;;;

206;;;;;;;;;

207;;;;;;;;;

208                                     ;27925036;264.973530;-31.993132; 0.366; 0.561;14.335; 0.020;15.137; 0.017

209;;;;;;;;;

210;;;;;;;;;

211;;;;;;;;;

212;;;;;;;;;

213                                     ;27926589;265.112742;-31.995881; 0.672; 0.581;15.994; 0.000;16.798; 0.081

214;;;;;;;;;

215;;;;;;;;;

216;;;;;;;;;

217;;;;;;;;;

218;;;;;;;;;

219;;;;;;;;;

220                                     ;27926594;265.042381;-31.996141; 0.757; 0.475;14.765; 0.049;15.589; 0.050

221;;;;;;;;;

222;;;;;;;;;

223;;;;;;;;;

224;;;;;;;;;

225;;;;;;;;;

226;;;;;;;;;

227                                     ;27911559;265.325714;-31.998463; 0.673; 0.927;15.556; 0.048;16.611; 0.099

228;;;;;;;;;

229;;;;;;;;;

230;;;;;;;;;

231;;;;;;;;;

232                                     ;27925045;264.896144;-31.997421; 0.108; 0.214;13.258; 0.029;14.033; 0.014

233;;;;;;;;;

234;;;;;;;;;

235;;;;;;;;;

236;;;;;;;;;

237;;;;;;;;;

238;;;;;;;;;

239;;;;;;;;;

240                                     ;27911569;265.248399;-32.001277; 0.959; 0.255;      ;      ;      ;

241;;;;;;;;;

242;;;;;;;;;

243;;;;;;;;;

244                                     ;27926588;265.085476;-32.001034; 0.624; 0.535;      ;      ;      ;

245;;;;;;;;;

246;;;;;;;;;

247;;;;;;;;;

248;;;;;;;;;

249;;;;;;;;;

250;;;;;;;;;

251                                     ;27911572;265.195339;-32.003276; 0.870; 0.737;15.863; 0.000;17.133; 0.000

252;;;;;;;;;

253                                     ;27911571;265.187170;-32.003344; 0.467; 0.390;14.250; 0.022;15.161; 0.041

254                                     ;27911558;265.308062;-32.003896; 0.540; 0.664;15.180; 0.063;16.340; 0.080

255;;;;;;;;;

256;;;;;;;;;

257;;;;;;;;;

258                                     ;27926586;265.141837;-32.004211; 0.441; 0.420;14.418; 0.018;15.455; 0.028

259;;;;;;;;;

260;;;;;;;;;

261;;;;;;;;;

262;;;;;;;;;

263;;;;;;;;;

264                                     ;27911570;265.172679;-32.006382; 0.650; 0.720;      ;      ;      ;

265;;;;;;;;;
